ID_CLIENTE,CURP
1,VIIJSKJA71ZO3FF6LR
2,ZOFHUXJ2VHPBAOG976
3,FHHBQLBQ4DHZ88KXU1
4,XPYE52QMFO55AO7Z3X
5,GXC9QQ2VBCA1A1FNWV
6,EN25KCBL6U1MTJOFMK
7,HWM9WTEOPYR14WU3E0
8,NE5GX2UTYCQSDGVCTD
9,T8ZNA4NKMXQMOOQL7A
10,R2MEQQISVFAIBPM7PO
11,L1VBVWDPPWGBJURO7G
12,U39BZLI31U2M2YLJYR
13,0KQQS0RXR3UB6KNVVA
14,31K2I1IDHV77O0ZX5U
15,EQERJ6JL1F4DDO1JHR
16,14NO3Z13FDYCNNQMCS
17,ZICQQU2J30H7L8RRGE
18,MHV5T8VG521E8LJJS5
19,V0D4V3CYH23F8PJQG9
20,UJYJQS4REVPHNZOJ05
21,SE1EJ5WD32LC0JSJ62
22,UJTIX1T8O11OEQVWDS
23,MJYABTNF7LY28GBG72
24,XWF7T8RAYCBZ5WVDLL
25,7PVZACOG577EETF3YQ
26,CLQ1Y8JB6UV1AQOZD0
27,DPJX3JPSMP7PIFYTWJ
28,UOJ0LOT5UDXNBBI9VM
29,DEV9G00XVK5M209N4O
30,E8HEX5ZURTOPGXAA6E
31,1XX80FQ7A5BZYCDBH5
32,5WX21R423VD2AMN8WM
33,13N4KXPYPHGYVVKYX1
34,8V2A7T0KRW8CGB0VIT
35,8XAI3JBEN7QI6XEQVV
36,J6Y8DQ6WZAR0B0NDOG
37,T716IK8F0BDSJ2CJKN
38,V8Q64SJLB627O7JD34
39,XY6U9S62GHMNR4GNW4
40,PZ4NUHEFS3LJVF1ZTQ
41,QHWR174ZLW7LX8ANTO
42,VYWAX3WJQLBWANJUDE
43,WM9HMNLEP2PLYN9HH5
44,ZLRQF2PY8DAKIP8MEM
45,VVHX9BMLVKKYGAUVBC
46,ENE2QSSS5H3QHBHHRH
47,3NDTRJ7YGTMHNPDJ74
48,4GJ97K999FRL69KGP2
49,BWTFPCFY3GBAAYV91L
50,EA1WI8W40NV4WPR4QW
51,Y8RMXV1EDH0DKV87GL
52,LXBE4IWXWZR2Q397KT
53,LBLGXCJDWG5NKPD6S5
54,DO5FYIIY7BMRPSAXS9
55,AVAN19UW9RLTSES0AE
56,4ZEPIPCCZUNAGBBMKE
57,ZG5QQEUHXL1QRC788V
58,BMG75ZT9JP3VGP3AYJ
59,0W7VR687YWRFJ8K65T
60,0PEE8OC8BNGQPT3VEC
61,ZN0GV6O68EYLUV6KZK
62,U36T553TLPWZLL15VG
63,V3A1HRR3QZHZXR2LPC
64,SC0AXPZHSF1YL7SQ1K
65,EBYGPWH81E93G9ALW3
66,ZQX7HM7JU4XIZCTGVD
67,X07YZD10DFJX4BJM70
68,E70O3G89SSWXCQ5PBB
69,H3U4BBS7E3ARMSEQ9Q
70,R1CUMFUHU9KCE9Y6A4
71,T981W5L3472XHTE18K
72,QGLKFP1QAFQEHEC2YL
73,3U58KPSQ8TB97F4SDX
74,C8UI3JTMF8348TVY9X
75,HZB9G6BSWZON5SEU2Q
76,R03KRNEQSYWU3OKPFX
77,BXKERDFJ0OFKEBZD8E
78,D0TDB7VCKNXWBR2Z8Q
79,QKRI8LZ3BRUC79JHF7
80,7WOHEJ0O7H6GAUP67A
81,J1UT7ROH8QPR7DV5YG
82,T2M2KZGRFNPMBQPNDO
83,KFKJGJC9LRLM8A0QA2
84,A6UQ38U6NA3BBPHVBA
85,KXRX65CYEVGC5XRFB1
86,01UO5TB0O8R2K1EE5R
87,9QOBL6G7GW4R9OUZSH
88,56EQA7Q85UJTDSOPH0
89,V25T516OXMCUA0QWU7
90,1B1MG88ULM6ZDEBH49
91,DYQD1A0VKTZQL5GS1E
92,NHTZP7DESWSK29319S
93,9RU3S1O98ILZEH27NG
94,95ZDEO9IFQGT67SND3
95,W5TKH52459A68LGK4P
96,0RYZ1WFZVZISAO8LVJ
97,M3J9TPG0GEZWUOFH03
98,JUSRPEMT2VMSEULB2Y
99,QUIJD9EOJG43YH2ATS
100,LTEEWVPGTJ2T45G6JB
101,9UKP8Y5M6J16N9RS9B
102,W0J0377PD215JYAZHD
103,VO93FT4A1Q69D9W0AR
104,4UKXLLDSNCXCW6RM12
105,IKWBXSP64GOM9503ZR
106,SJ6MJMQBOYNUWDF7AX
107,8J5D4682XW28BIF9FJ
108,MSPHX1VDC6JDPBGLLA
109,2QRLI6JT82EWO6RASC
110,3RBN9VZ5BIO2XAWGBY
111,X5EVXUZWXTY8934RQM
112,EPVG7C35WCOMG6MJKA
113,JHU1V61856SH6H828Y
114,NAET6H06HJYZL6FT2J
115,6F914IZM3A1WA86KB7
116,0SYMI28YIL1ZIIT72X
117,HKCMM5P7NZ7IYYH246
118,XK9TV81AZ7HVXCWX3T
119,DNCHVC9YYKLERK09AL
120,8MV6X72DT7R9GY75PB
121,40KZ994MJEWKPNMRW3
122,2A89BDGZ0EW1SWLQ41
123,A6TRQ4XUABB7E3KZCS
124,IY1DTPVMAMB6V2JHAH
125,RJU0FMVANBAQCG9PZH
126,97QTSVO8MQ4PZWSWFL
127,Q94K3IMBGM147VO1UI
128,WIWV4424PBK391PCJN
129,A4IBVTYG7B25U1BH4A
130,08ESLVFHP14RZMHIN4
131,J5AL6M9XAGWUNO3KDL
132,JDQ6TS240K3X3IWH18
133,B9OTCQV11ZTVD2YAEL
134,KTH1CRLPR90T73UBEY
135,OUE0SPPEMYX3VEO47M
136,Z2ETGQUYM7FL22YRQA
137,3U8TW4V0BFZ10RM421
138,DPG07DWI0C1OZI362K
139,2PFSXKDCPAW8F3BX43
140,FNN4MS3ODF07DY3ND7
141,PRA3T8TBV208DHSUF3
142,GHJXZAZESJZ743SSRL
143,ANPURP7HH1R9D2MOS1
144,P689GYH1MP4Z97O5EB
145,CSWCJROPX4HMQQSWSD
146,UV9Q1CRVNKN28WG96E
